date,Open,Close,Volume,pct_change
2010-07-01,-12.160017555233479,1.6666669845581057,1277942400000000000,-113.70612317776465
2010-07-02,-16.52171979553943,1.5333329439163208,1278028800000000000,-109.28071025832489
2010-07-06,-19.449980723853272,1.3333330154418943,1278374400000000000,-106.85518939258745
2010-07-07,-3.6585341919603054,1.0933330059051514,1278460800000000000,-129.88445504507706
2010-07-08,8.178444345324946,1.0759999752044678,1278547200000000000,-86.8434639917854
2010-07-09,-1.0238979015199081,1.1720000505447388,1278633600000000000,-214.46454268584625
2010-07-12,-5.013921582886464,1.196666955947876,1278892800000000000,-123.8668861521956
2010-07-13,4.3128206235559405,1.1593329906463623,1278979200000000000,-73.11891470017858
2010-07-14,10.590888363389011,1.1959999799728394,1279065600000000000,-88.70727422538775
2010-07-15,-0.25072518756412393,1.329332947731018,1279152000000000000,-630.1952151859637
2010-07-16,-0.2898513416962394,1.3799999952316284,1279238400000000000,-576.106126387316
2010-07-19,2.5269072233700136,1.4246670007705688,1279497600000000000,-43.62013026855178
2010-07-20,-7.09386248499109,1.4566669464111328,1279584000000000000,-120.53418641104321
2010-07-21,-2.129695175839653,1.3773330450057983,1279670400000000000,-164.67277855680783
2010-07-22,2.4389952438995244,1.3666670322418213,1279756800000000000,-43.96598207150412
2010-07-23,0.47186951227436247,1.4126670360565186,1279843200000000000,199.37662834956402
2010-07-26,-2.5580960354114874,1.4333330392837524,1280102400000000000,-156.0312443099186
2010-07-27,-1.721667698559553,1.3940000534057615,1280188800000000000,-180.96800878427717
2010-07-28,0.8272254525232473,1.3700000047683716,1280275200000000000,65.61386023477932
2010-07-29,-2.022146577625329,1.3846670389175415,1280361600000000000,-168.47510730619734
2010-07-30,-1.287185542065435,1.3466670513153076,1280448000000000000,-204.62105169037463
2010-08-02,2.0487797304254185,1.3666670322418213,1280707200000000000,-33.293608290529114
2010-08-03,4.523788256709716,1.399999976158142,1280793600000000000,-69.05248661712555
